id,status,identities,languages,affiliation,student,gender,num_languages,new_to_uchicago,new_to_chicago,new_to_usa,international
1,uchicago undergraduate student,NA,NA,Undergraduate Student,Undergraduate,NA,NA,NA,NA,NA,NA
2,uchicago undergraduate student,NA,NA,Undergraduate Student,Undergraduate,NA,NA,NA,NA,NA,NA
3,uchicago undergraduate student,NA,NA,Undergraduate Student,Undergraduate,NA,NA,NA,NA,NA,NA
4,uchicago undergraduate student,NA,NA,Undergraduate Student,Undergraduate,NA,NA,NA,NA,NA,NA
5,uchicago undergraduate student,NA,NA,Undergraduate Student,Undergraduate,NA,NA,NA,NA,NA,NA
6,uchicago undergraduate student,NA,NA,Undergraduate Student,Undergraduate,NA,NA,NA,NA,NA,NA
7,uchicago undergraduate student,NA,NA,Undergraduate Student,Undergraduate,NA,NA,NA,NA,NA,NA
8,uchicago undergraduate student,NA,NA,Undergraduate Student,Undergraduate,NA,NA,NA,NA,NA,NA
9,uchicago undergraduate student,NA,NA,Undergraduate Student,Undergraduate,NA,NA,NA,NA,NA,NA
10,uchicago undergraduate student,NA,NA,Undergraduate Student,Undergraduate,NA,NA,NA,NA,NA,NA
11,uchicago undergraduate student,NA,NA,Undergraduate Student,Undergraduate,NA,NA,NA,NA,NA,NA
12,uchicago undergraduate student,NA,NA,Undergraduate Student,Undergraduate,NA,NA,NA,NA,NA,NA
13,uchicago undergraduate student,NA,NA,Undergraduate Student,Undergraduate,NA,NA,NA,NA,NA,NA
14,uchicago undergraduate student,NA,NA,Undergraduate Student,Undergraduate,NA,NA,NA,NA,NA,NA
15,uchicago undergraduate student,NA,NA,Undergraduate Student,Undergraduate,NA,NA,NA,NA,NA,NA
16,uchicago undergraduate student,NA,NA,Undergraduate Student,Undergraduate,NA,NA,NA,NA,NA,NA
17,uchicago undergraduate student,NA,NA,Undergraduate Student,Undergraduate,NA,NA,NA,NA,NA,NA
18,uchicago undergraduate student,NA,NA,Undergraduate Student,Undergraduate,NA,NA,NA,NA,NA,NA
19,uchicago undergraduate student,NA,NA,Undergraduate Student,Undergraduate,NA,NA,NA,NA,NA,NA
20,uchicago undergraduate student,NA,NA,Undergraduate Student,Undergraduate,NA,NA,NA,NA,NA,NA
21,uchicago undergraduate student,NA,NA,Undergraduate Student,Undergraduate,NA,NA,NA,NA,NA,NA
22,uchicago undergraduate student,NA,NA,Undergraduate Student,Undergraduate,NA,NA,NA,NA,NA,NA
23,uchicago undergraduate student,NA,NA,Undergraduate Student,Undergraduate,NA,NA,NA,NA,NA,NA
24,uchicago undergraduate student,NA,NA,Undergraduate Student,Undergraduate,NA,NA,NA,NA,NA,NA
25,uchicago undergraduate student,NA,NA,Undergraduate Student,Undergraduate,NA,NA,NA,NA,NA,NA
26,uchicago undergraduate student,NA,NA,Undergraduate Student,Undergraduate,NA,NA,NA,NA,NA,NA
27,uchicago undergraduate student,NA,NA,Undergraduate Student,Undergraduate,NA,NA,NA,NA,NA,NA
28,uchicago undergraduate student,NA,NA,Undergraduate Student,Undergraduate,NA,NA,NA,NA,NA,NA
29,uchicago undergraduate student,NA,NA,Undergraduate Student,Undergraduate,NA,NA,NA,NA,NA,NA
