id,timestamp,where_stranger,when_stranger,where_student,where_friend,coin_same,coin_different,number_0_10,number_list,number_big,demos_status,demos_identities,demos_languages,error_stranger,error_student,error_friend
1,2020-04-21T11:05:14Z,Harper,1899-12-30T11:00:00Z,The Reg,Dollop,Heads,Tails,7,261,67,UChicago undergraduate student,NA,NA,NA,NA,NA
2,2020-04-21T11:05:25Z,The bean,1899-12-30T10:30:00Z,Reg,Dorms,Heads,Tails,5,13,10,UChicago undergraduate student,NA,NA,NA,NA,NA
3,2020-04-21T11:05:45Z,Last place we met,1899-12-30T14:00:00Z,Hutchinson,Eckardt,Heads,Tails,1,555,100,UChicago undergraduate student,NA,NA,TRUE,NA,NA
4,2020-04-21T11:06:23Z,The Bean,1899-12-30T12:00:00Z,Reynolds Club,Max Central,Heads,Heads,7,7,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
5,2020-04-21T11:06:54Z,Starbucks downtown,1899-12-30T17:00:00Z,The Reg,Our dorm building,Heads,Heads,7,7,1000,NA,NA,NA,NA,NA,NA
6,2020-04-21T11:07:28Z,I would meet them in front of my dorm (Campus North),1899-12-30T12:00:00Z,In the Quad,In my dorm building (Campus North),Heads,Tails,5,13,1000000,NA,NA,NA,NA,NA,NA
7,2020-04-21T11:08:20Z,Philz Coffee,1899-12-30T11:00:00Z,Regenstein Library,In my dorm,Heads,Heads,7,99,1000,NA,NA,NA,NA,NA,NA
8,2020-04-21T11:08:46Z,North Residential  (or the last place we met),1899-12-30T18:00:00Z,The reg,North Residential,Tails,Heads,7,261,100,NA,NA,NA,NA,NA,NA
9,2020-04-21T11:08:51Z,UChicago Central Quad,1899-12-30T11:00:00Z,The Reg,My apartment,Heads,Tails,7,7,10000,NA,NA,NA,NA,NA,NA
10,2020-04-21T11:09:22Z,UChicago - dollop,1899-12-30T12:00:00Z,UChicago - dollop,Dollop,Heads,Heads,5,100,1000000,NA,NA,NA,NA,NA,NA
11,2020-04-21T11:24:01Z,the bean,1899-12-30T11:00:00Z,Pret-a-Manger,Lobby of Max P East,Heads,Heads,7,100,1000,NA,NA,NA,NA,NA,NA
12,2020-04-21T11:24:04Z,The Quad,1899-12-30T13:00:00Z,Ex Libris Cafe,Bartlett,Heads,Tails,7,13,22,NA,NA,NA,NA,NA,NA
13,2020-04-21T11:24:09Z,Their house,1899-12-30T10:00:00Z,"The reg, A-level",Show up to their room,Heads,Heads,10,100,100,NA,NA,NA,TRUE,NA,NA
14,2020-04-21T11:24:12Z,Reg,1899-12-30T17:00:00Z,Pret or Reg,Reg,Tails,Heads,7,7,37,NA,NA,NA,NA,NA,NA
15,2020-04-21T11:24:12Z,Teamo,1899-12-30T13:00:00Z,Pret,Teamo,Heads,Tails,7,7,7,UChicago undergraduate student,NA,NA,NA,NA,NA
16,2020-04-21T11:24:37Z,Starbucks Reserve,1899-12-30T11:00:00Z,Ex Lib,At their apartment,Heads,Heads,5,100,1000,UChicago undergraduate student,NA,NA,NA,NA,NA
17,2020-04-21T11:25:11Z,The Bean,1899-12-30T11:00:00Z,The Reg (library),Dollop,Heads,Heads,7,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
