Timestamp,"You are meeting a stranger in Chicago. You both know that you need to meet each other today, but you haven't agreed on a place or a time and you have no means of communication. WHERE do you go to meet them?","You are meeting a stranger in Chicago. You both know that you need to meet each other today, but you haven't agreed on a place or a time and you have no means of communication. WHAT TIME do you go to meet them?","You are meeting another UChicago student who you have not met before. You both know that you are both UChicago students and that you should meet today somewhere in the city of Chicago, but you haven't agreed on a meeting location and you have no means of communication. Where do you go to meet them?","You are meeting your closest friend from UChicago. You both know you should meet somewhere in the city of Chicago, but you haven't agreed on a meeting location and you have no means of communication. Where do you go to meet them?","You and an anonymous partner need to choose heads or tails. If you both choose the SAME answer, you both win. Which do you choose?","You and an anonymous partner need to choose heads or tails. If you both choose DIFFERENT answers, you both win. Which do you choose?","You and an anonymous partner each give a number between 0 and 10. If you choose the same number, you both win. What number do you choose?","You and an anonymous partner each choose a number from the list below. If you choose the same number, you both win. Which number do you choose?","You and an anonymous partner each give a number. If you say the same number, you both win. The bigger the number, the more you win. What number do you choose? (your answer should contain only numerical characters; no letters, punctuation, or symbols)",Which best describes you?,OPTIONAL: Which of the following describe you? Select all that apply.,"OPTIONAL: What language do you feel most comfortable/proficient speaking? (If you consider yourself equally proficient in more than one language, list all.)",STRANGER_ERROR,STUDENT_ERROR,FRIEND_ERROR
2020-04-21T11:05:14Z,Harper,1899-12-30T11:00:00Z,,Dollop,Heads,Tails,7,261,67,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-21T11:05:25Z,The bean,1899-12-30T10:30:00Z,,Dorms,Heads,Tails,5,13,10,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-21T11:05:45Z,Last place we met,1899-12-30T14:00:00Z,,Eckardt,Heads,Tails,1,555,100,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2020-04-21T11:06:23Z,The Bean,1899-12-30T12:00:00Z,,Max Central,Heads,Heads,7,7,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-21T11:06:54Z,Starbucks downtown,1899-12-30T17:00:00Z,,Our dorm building,Heads,Heads,7,7,1000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-21T11:07:28Z,I would meet them in front of my dorm (Campus North),1899-12-30T12:00:00Z,,In my dorm building (Campus North),Heads,Tails,5,13,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-21T11:08:20Z,Philz Coffee,1899-12-30T11:00:00Z,,In my dorm,Heads,Heads,7,99,1000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-21T11:08:46Z,North Residential  (or the last place we met),1899-12-30T18:00:00Z,,North Residential,Tails,Heads,7,261,100,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-21T11:08:51Z,UChicago Central Quad,1899-12-30T11:00:00Z,,My apartment,Heads,Tails,7,7,10000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-21T11:09:22Z,UChicago - dollop,1899-12-30T12:00:00Z,,Dollop,Heads,Heads,5,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-21T11:24:01Z,the bean,1899-12-30T11:00:00Z,,Lobby of Max P East,Heads,Heads,7,100,1000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-21T11:24:04Z,The Quad,1899-12-30T13:00:00Z,,Bartlett,Heads,Tails,7,13,22,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-21T11:24:09Z,Their house,1899-12-30T10:00:00Z,,Show up to their room,Heads,Heads,10,100,100,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2020-04-21T11:24:12Z,Reg,1899-12-30T17:00:00Z,,Reg,Tails,Heads,7,7,37,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-21T11:24:12Z,Teamo,1899-12-30T13:00:00Z,,Teamo,Heads,Tails,7,7,7,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-21T11:24:37Z,Starbucks Reserve,1899-12-30T11:00:00Z,,At their apartment,Heads,Heads,5,100,1000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-21T11:25:11Z,The Bean,1899-12-30T11:00:00Z,,Dollop,Heads,Heads,7,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-04-29T17:11:47Z,"either the home of the person I am meeting if they are not likely to come to me, or stay at my home and understand that that person will come to me",1899-12-30T17:00:00Z,,our shared apartment,Heads,Tails,7,7,999,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2020-04-29T21:04:29Z,Reg,1899-12-30T19:00:00Z,,Home,Heads,Tails,5,100,1000000000,UChicago undergraduate student,NA,NA,NA,NA,NA
